序号,签单年份,项目规模,金额W,实际毛利率,预计毛利率,实际-预计,签约方式,区域,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1,2021,微型项目,4.0,0.97,0.945,0.025000000000000022,代理商,华南,,,,,,,,
2,2021,微型项目,2.19,0.97,0.8995,0.07050000000000001,直签,华南,,,,,,,,
3,2021,微型项目,4.75,0.97,0.9832,-0.01319999999999999,代理商,华北,,,,,,,,
4,2021,中型项目,49.0,0.89,0.9633,-0.07330000000000003,代理商,华东,,,,,,,,
5,2021,中型项目,48.0,0.85,0.9249,-0.07490000000000008,直签,华北,,,,微型项目,小型项目,中型项目,大型项目,超大型项目
6,2021,微型项目,7.0,0.96,0.8545,0.10549999999999993,代理商,华东,,,实际>预计,73,27,29,9,1
7,2021,小型项目,12.28,0.8,0.7948,0.0052000000000000934,直签,华南,,,实际=预计,283,159,135,39,6
8,2021,微型项目,6.8,0.88,0.8382,0.04180000000000006,代理商,华东,,,实际<预计,67,36,30,13,1
9,2021,大型项目,114.8,0.96,0.636,0.32399999999999995,代理商,华南,,,,,,,,
10,2021,中型项目,61.0,0.63,0.7148,-0.08479999999999999,代理商,西南,,,,,,,,
11,2021,微型项目,8.6,0.76,0.8047,-0.04469999999999996,代理商,华北,,,各规模70%上下占比和趋势,,,,,
12,2021,微型项目,1.6,0.97,0.8625,0.10749999999999993,代理商,华东,,,,微型项目,小型项目,中型项目,大型项目,超大型项目
13,2021,微型项目,5.0,0.92,0.96,-0.039999999999999925,代理商,华东,,,>=70%,0,,,,
14,2021,小型项目,15.0,0.97,1.0,-0.030000000000000027,直签,华南,,,<70%,,,,,
15,2021,微型项目,1.02,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
16,2021,微型项目,5.0,0.97,0.968,0.0020000000000000018,代理商,华北,,,,,,,,
17,2021,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
18,2021,大型项目,142.0,0.72,0.4183,0.30169999999999997,直签,华北,,,,,,,,
19,2021,大型项目,151.37,0.29,0.8007,-0.5106999999999999,直签,华东,,,,,,,,
20,2021,微型项目,9.18,0.89,0.8083,0.0817,代理商,华北,,,,,,,,
21,2021,小型项目,25.0,0.66,0.804,-0.14400000000000002,代理商,华东,,,,,,,,
22,2021,微型项目,9.0,0.97,0.9733,-0.0033000000000000806,代理商,华东,,,,,,,,
23,2021,微型项目,5.0,0.86,0.956,-0.09599999999999997,代理商,华南,,,,,,,,
24,2021,微型项目,6.0,0.56,0.725,-0.16499999999999992,直签,华北,,,,,,,,
25,2021,小型项目,16.5,0.96,0.9407,0.019299999999999984,直签,华北,,,,,,,,
26,2021,微型项目,5.0,0.97,0.968,0.0020000000000000018,代理商,华北,,,,,,,,
27,2021,微型项目,5.5,0.7,0.7818,-0.0818000000000001,代理商,华北,,,,,,,,
28,2021,小型项目,17.4,0.95,1.0,-0.050000000000000044,直签,华北,,,,,,,,
29,2021,小型项目,30.0,0.96,0.9714,-0.011400000000000077,代理商,西北,,,,,,,,
30,2021,小型项目,23.0,0.95,1.0,-0.050000000000000044,代理商,华南,,,,,,,,
31,2021,中型项目,49.0,0.86,0.8744,-0.014399999999999968,直签,华北,,,,,,,,
32,2021,微型项目,0.6,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
33,2021,大型项目,105.82,0.54,0.6541,-0.11409999999999998,代理商,华中,,,,,,,,
34,2021,微型项目,1.9,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
35,2021,微型项目,4.0,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
36,2021,微型项目,8.0,0.97,0.9313,0.03869999999999996,代理商,华南,,,,,,,,
37,2021,小型项目,16.0,0.67,0.8969,-0.2269,代理商,华东,,,,,,,,
38,2021,微型项目,2.0,0.97,0.72,0.25,代理商,华东,,,,,,,,
39,2021,中型项目,40.0,0.75,0.7905,-0.04049999999999998,代理商,华南,,,,,,,,
40,2021,微型项目,8.0,0.96,0.97,-0.010000000000000009,代理商,华东,,,,,,,,
41,2021,微型项目,1.5,0.97,1.0,-0.030000000000000027,直签,西南,,,,,,,,
42,2021,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
43,2021,小型项目,11.0,0.96,1.0,-0.040000000000000036,直签,西南,,,,,,,,
44,2021,小型项目,16.0,0.14,0.8364,-0.6964,直签,西南,,,,,,,,
45,2021,小型项目,20.52,0.57,0.366,0.20399999999999996,直签,华东,,,,,,,,
46,2021,小型项目,13.0,0.96,1.0,-0.040000000000000036,直签,华北,,,,,,,,
47,2021,中型项目,59.0,0.55,0.8615,-0.3115,直签,西南,,,,,,,,
48,2021,微型项目,8.0,0.95,1.0,-0.050000000000000044,代理商,华南,,,,,,,,
49,2021,微型项目,6.0,0.97,0.9083,0.06169999999999998,代理商,华北,,,,,,,,
50,2021,微型项目,8.0,0.88,0.9,-0.020000000000000018,代理商,华东,,,,,,,,
51,2021,中型项目,35.58,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,
52,2021,微型项目,6.0,0.97,0.96,0.010000000000000009,直签,华北,,,,,,,,
53,2021,中型项目,40.0,0.85,0.9077,-0.057699999999999974,代理商,华东,,,,,,,,
54,2021,微型项目,2.75,-0.89,1.0,-1.8900000000000001,直签,华南,,,,,,,,
55,2021,微型项目,0.78,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
56,2021,微型项目,7.2,0.97,1.0,-0.030000000000000027,直签,华东,,,,,,,,
57,2021,小型项目,12.0,0.82,0.85,-0.030000000000000027,代理商,华北,,,,,,,,
58,2021,中型项目,31.0,0.36,0.4963,-0.13630000000000003,代理商,华东,,,,,,,,
59,2021,微型项目,2.4,0.84,0.725,0.11499999999999999,代理商,华北,,,,,,,,
60,2021,微型项目,7.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,
61,2021,小型项目,14.0,0.75,0.82,-0.06999999999999995,直签,华北,,,,,,,,
62,2021,微型项目,2.0,0.63,0.72,-0.08999999999999997,代理商,华北,,,,,,,,
63,2021,大型项目,127.28,0.96,1.0,-0.040000000000000036,直签,华南,,,,,,,,
64,2021,微型项目,10.0,0.42,0.694,-0.27399999999999997,代理商,华东,,,,,,,,
65,2021,小型项目,15.0,0.81,0.7733,0.036700000000000066,代理商,华东,,,,,,,,
66,2021,中型项目,46.5,0.72,0.9449,-0.2249,直签,华东,,,,,,,,
67,2021,中型项目,37.1,-1.01,0.8248,-1.8348,直签,华南,,,,,,,,
68,2021,小型项目,21.5,0.96,0.9246,0.03539999999999999,直签,华北,,,,,,,,
69,2021,中型项目,48.42,0.91,0.8861,0.023900000000000032,代理商,华南,,,,,,,,
70,2021,微型项目,0.88,0.97,0.6818,0.2882,代理商,华南,,,,,,,,
71,2021,小型项目,20.0,0.93,1.0,-0.06999999999999995,直签,华北,,,,,,,,
72,2021,中型项目,37.6,0.68,0.2777,0.40230000000000005,代理商,华北,,,,,,,,
73,2021,微型项目,3.0,0.97,0.9467,0.023299999999999987,代理商,华北,,,,,,,,
74,2021,中型项目,45.0,0.97,0.96,0.010000000000000009,代理商,华南,,,,,,,,
75,2021,中型项目,50.0,0.75,0.617,0.133,代理商,华南,,,,,,,,
76,2021,小型项目,18.0,0.95,0.9389,0.011099999999999999,直签,华北,,,,,,,,
77,2021,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
78,2021,小型项目,16.4,0.85,0.2317,0.6183,代理商,华北,,,,,,,,
79,2021,微型项目,8.0,0.73,0.95,-0.21999999999999997,代理商,华北,,,,,,,,
80,2021,微型项目,6.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
81,2021,中型项目,80.55,0.92,0.9329,-0.012899999999999912,代理商,华北,,,,,,,,
82,2021,微型项目,10.0,0.82,0.82,0.0,代理商,华北,,,,,,,,
83,2021,中型项目,85.0,0.88,0.9175,-0.03749999999999998,直签,华北,,,,,,,,
84,2021,中型项目,42.0,0.94,0.9571,-0.017100000000000004,代理商,华北,,,,,,,,
85,2021,中型项目,65.0,0.94,0.8367,0.10329999999999995,代理商,华北,,,,,,,,
86,2021,大型项目,240.0,0.44,0.8227,-0.3827,直签,华北,,,,,,,,
87,2021,中型项目,90.0,0.96,0.9722,-0.012199999999999989,代理商,华北,,,,,,,,
88,2021,微型项目,8.0,0.84,1.0,-0.16000000000000003,代理商,华南,,,,,,,,
89,2021,微型项目,6.04,0.97,0.7268,0.24319999999999997,直签,西南,,,,,,,,
90,2021,微型项目,5.0,0.91,0.89,0.020000000000000018,代理商,华南,,,,,,,,
91,2021,微型项目,10.0,0.79,1.0,-0.20999999999999996,代理商,华北,,,,,,,,
92,2021,小型项目,11.0,0.7,0.8455,-0.14550000000000007,代理商,西北,,,,,,,,
93,2021,小型项目,15.0,0.78,0.8571,-0.07709999999999995,代理商,华北,,,,,,,,
94,2021,微型项目,6.83,0.97,0.8243,0.14569999999999994,直签,华东,,,,,,,,
95,2021,小型项目,27.28,0.91,0.931,-0.02100000000000002,直签,华南,,,,,,,,
96,2021,中型项目,78.7,0.37,0.8105,-0.4405,直签,华南,,,,,,,,
97,2021,中型项目,66.0,0.96,0.9774,-0.017400000000000082,直签,华北,,,,,,,,
98,2021,中型项目,42.0,0.9,0.835,0.06500000000000006,代理商,华北,,,,,,,,
99,2021,中型项目,40.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
100,2021,小型项目,11.14,0.96,1.0,-0.040000000000000036,直签,西南,,,,,,,,
101,2021,小型项目,12.8,0.89,0.8906,-0.0005999999999999339,代理商,华东,,,,,,,,
102,2021,小型项目,12.0,0.72,0.9083,-0.18830000000000002,代理商,华南,,,,,,,,
103,2021,中型项目,33.0,0.87,0.822,0.04800000000000004,代理商,华南,,,,,,,,
104,2021,中型项目,36.0,0.95,0.9,0.04999999999999993,代理商,华东,,,,,,,,
105,2021,小型项目,20.0,0.81,0.8941,-0.08409999999999995,代理商,华北,,,,,,,,
106,2021,中型项目,31.05,0.54,0.7424,-0.2023999999999999,代理商,华东,,,,,,,,
107,2021,微型项目,2.36,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,
108,2021,小型项目,17.0,0.75,0.8941,-0.1441,代理商,华南,,,,,,,,
109,2021,小型项目,12.5,0.78,1.0,-0.21999999999999997,代理商,华北,,,,,,,,
110,2021,微型项目,10.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
111,2021,小型项目,30.0,0.92,0.915,0.0050000000000000044,代理商,华北,,,,,,,,
112,2021,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
113,2021,中型项目,98.0,-0.04,0.7273,-0.7673,直签,华东,,,,,,,,
114,2021,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
115,2021,小型项目,15.0,0.93,0.92,0.010000000000000009,直签,华北,,,,,,,,
116,2021,微型项目,3.98,0.42,0.4497,-0.029700000000000004,直签,华南,,,,,,,,
117,2021,微型项目,7.02,0.91,0.7607,0.1493,直签,华南,,,,,,,,
118,2021,微型项目,2.98,0.97,0.6477,0.3222999999999999,直签,华南,,,,,,,,
119,2021,小型项目,21.0,0.9,0.9143,-0.01429999999999998,代理商,华南,,,,,,,,
120,2021,微型项目,6.0,0.88,0.9,-0.020000000000000018,代理商,华北,,,,,,,,
121,2021,大型项目,105.0,0.27,0.847,-0.577,代理商,华东,,,,,,,,
122,2021,微型项目,4.5,0.7,0.7333,-0.033299999999999996,直签,华北,,,,,,,,
123,2021,微型项目,6.0,0.97,0.91,0.05999999999999994,代理商,华东,,,,,,,,
124,2021,中型项目,31.0,0.67,0.74,-0.06999999999999995,直签,西北,,,,,,,,
125,2021,微型项目,9.0,0.9,0.9733,-0.07330000000000003,代理商,华北,,,,,,,,
126,2021,小型项目,14.8,0.94,0.7938,0.1462,直签,西南,,,,,,,,
127,2021,中型项目,34.6,0.53,0.8714,-0.3413999999999999,直签,西南,,,,,,,,
128,2021,中型项目,40.0,0.9,0.875,0.025000000000000022,代理商,华北,,,,,,,,
129,2021,微型项目,8.0,0.95,0.96,-0.010000000000000009,代理商,华北,,,,,,,,
130,2021,微型项目,2.0,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
131,2021,微型项目,4.5,0.76,1.0,-0.24,代理商,华南,,,,,,,,
132,2021,中型项目,60.0,0.75,0.9265,-0.1765,代理商,华北,,,,,,,,
133,2021,微型项目,6.0,0.97,0.9633,0.006699999999999928,代理商,华北,,,,,,,,
134,2021,微型项目,7.0,0.97,0.9214,0.04859999999999998,代理商,华南,,,,,,,,
135,2021,微型项目,1.56,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
136,2021,中型项目,38.0,0.93,0.95,-0.019999999999999907,直签,华北,,,,,,,,
137,2021,小型项目,20.0,0.68,0.7,-0.019999999999999907,代理商,华南,,,,,,,,
138,2021,微型项目,3.36,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
139,2021,小型项目,20.0,0.96,0.8765,0.08350000000000002,代理商,华北,,,,,,,,
140,2021,微型项目,10.0,0.78,0.9313,-0.1513,代理商,西南,,,,,,,,
141,2021,中型项目,45.0,0.78,0.8667,-0.0867,代理商,华北,,,,,,,,
142,2021,小型项目,15.0,0.91,1.0,-0.08999999999999997,代理商,华南,,,,,,,,
143,2021,小型项目,16.5,0.88,0.8909,-0.01090000000000002,代理商,华南,,,,,,,,
144,2021,小型项目,29.5,0.95,0.9234,0.026599999999999957,直签,华北,,,,,,,,
145,2021,小型项目,13.5,0.97,0.9593,0.010699999999999932,代理商,华南,,,,,,,,
146,2021,小型项目,25.85,0.73,0.8603,-0.13029999999999997,直签,华南,,,,,,,,
147,2021,小型项目,17.0,0.96,0.8941,0.06589999999999996,代理商,华南,,,,,,,,
148,2021,微型项目,8.6,0.83,0.7907,0.0393,代理商,华东,,,,,,,,
149,2021,微型项目,7.2,0.68,0.8333,-0.1533,代理商,华东,,,,,,,,
150,2021,微型项目,5.47,0.86,0.8995,-0.03949999999999998,直签,华北,,,,,,,,
151,2021,微型项目,3.9,0.89,1.0,-0.10999999999999999,直签,华南,,,,,,,,
152,2021,小型项目,19.5,0.95,0.8615,0.08849999999999991,直签,华南,,,,,,,,
153,2021,中型项目,45.0,0.67,0.7368,-0.06679999999999997,直签,华东,,,,,,,,
154,2021,中型项目,35.8,0.66,0.4832,0.1768,代理商,华北,,,,,,,,
155,2021,大型项目,122.96,0.59,0.9464,-0.35640000000000005,直签,西南,,,,,,,,
156,2021,小型项目,27.0,0.96,1.0,-0.040000000000000036,直签,华南,,,,,,,,
157,2021,小型项目,29.8,0.95,0.9231,0.026899999999999924,直签,华东,,,,,,,,
158,2021,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
159,2021,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
160,2021,小型项目,15.0,0.83,0.8364,-0.006400000000000072,直签,华东,,,,,,,,
161,2021,小型项目,13.8,0.95,0.9304,0.01959999999999995,代理商,华北,,,,,,,,
162,2021,微型项目,5.65,0.97,0.9805,-0.010500000000000065,代理商,华南,,,,,,,,
163,2021,微型项目,5.23,0.97,0.847,0.123,代理商,华北,,,,,,,,
164,2021,微型项目,7.36,0.97,0.8505,0.11949999999999994,代理商,华南,,,,,,,,
165,2021,微型项目,1.2,0.97,0.7333,0.23670000000000002,代理商,华东,,,,,,,,
166,2021,微型项目,1.88,0.96,1.0,-0.040000000000000036,直签,华北,,,,,,,,
167,2021,小型项目,15.0,0.81,0.8625,-0.05249999999999999,代理商,西北,,,,,,,,
168,2021,中型项目,64.78,0.74,0.8105,-0.07050000000000001,代理商,华北,,,,,,,,
169,2021,大型项目,271.39,-0.03,-0.03,0.0,代理商,华东,,,,,,,,
170,2021,中型项目,38.08,0.87,0.4,0.47,直签,华东,,,,,,,,
171,2021,微型项目,7.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
172,2021,微型项目,7.0,0.97,0.9529,0.017100000000000004,代理商,华南,,,,,,,,
173,2021,微型项目,8.0,0.97,0.96,0.010000000000000009,代理商,华北,,,,,,,,
174,2021,微型项目,6.0,0.93,0.8167,0.11330000000000007,代理商,华南,,,,,,,,
175,2021,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
176,2021,大型项目,115.0,0.38,0.725,-0.345,代理商,华东,,,,,,,,
177,2021,微型项目,1.02,0.97,0.2157,0.7543,代理商,华东,,,,,,,,
178,2021,微型项目,3.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
179,2021,中型项目,56.7,0.16,0.5556,-0.39559999999999995,代理商,华北,,,,,,,,
180,2021,小型项目,19.0,0.86,0.9053,-0.04530000000000001,代理商,华北,,,,,,,,
181,2021,小型项目,30.0,0.83,0.9579,-0.1279,代理商,华南,,,,,,,,
182,2021,微型项目,7.0,0.97,0.9214,0.04859999999999998,代理商,华南,,,,,,,,
183,2021,微型项目,5.5,0.94,0.8,0.1399999999999999,代理商,华南,,,,,,,,
184,2021,小型项目,17.25,0.95,1.0,-0.050000000000000044,代理商,华南,,,,,,,,
185,2021,微型项目,7.74,0.95,0.8966,0.0534,直签,华北,,,,,,,,
186,2021,微型项目,7.8,0.46,0.8462,-0.38619999999999993,代理商,华东,,,,,,,,
187,2021,微型项目,0.99,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
188,2021,小型项目,14.6,0.88,0.9452,-0.06520000000000004,代理商,华东,,,,,,,,
189,2021,小型项目,25.46,0.46,0.2596,0.20040000000000002,代理商,华北,,,,,,,,
190,2021,微型项目,2.1,0.97,0.5048,0.46519999999999995,直签,华东,,,,,,,,
191,2021,微型项目,2.7,0.97,0.8815,0.08850000000000002,代理商,华北,,,,,,,,
192,2021,微型项目,9.75,0.96,0.8968,0.06319999999999992,直签,华北,,,,,,,,
193,2021,小型项目,27.5,0.89,0.8571,0.03290000000000004,代理商,华北,,,,,,,,
194,2021,中型项目,70.0,0.8,0.9182,-0.11819999999999997,代理商,华北,,,,,,,,
195,2021,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
196,2021,微型项目,5.9,0.97,0.9322,0.037799999999999945,代理商,华北,,,,,,,,
197,2021,中型项目,64.6,0.89,0.8548,0.03520000000000001,直签,华北,,,,,,,,
198,2021,微型项目,10.0,0.82,0.88,-0.06000000000000005,代理商,华东,,,,,,,,
199,2021,中型项目,46.5,0.92,0.9032,0.016800000000000037,直签,华南,,,,,,,,
200,2021,微型项目,8.0,0.97,0.9588,0.011199999999999988,代理商,华东,,,,,,,,
201,2021,微型项目,4.0,0.95,0.92,0.029999999999999916,代理商,华东,,,,,,,,
202,2021,中型项目,74.3,0.55,0.4932,0.05680000000000002,直签,华东,,,,,,,,
203,2021,微型项目,5.7,0.96,0.9244,0.035599999999999965,直签,华南,,,,,,,,
204,2021,微型项目,4.0,0.78,0.4,0.38,直签,华东,,,,,,,,
205,2021,微型项目,1.48,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,
206,2021,小型项目,19.64,0.89,0.9044,-0.014399999999999968,代理商,华北,,,,,,,,
207,2021,小型项目,26.5,0.86,0.9094,-0.0494,直签,华北,,,,,,,,
208,2021,大型项目,149.0,0.1,0.5834,-0.48340000000000005,直签,华东,,,,,,,,
209,2021,微型项目,2.0,0.97,0.8,0.16999999999999993,直签,华北,,,,,,,,
210,2021,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华北,,,,,,,,
211,2021,中型项目,44.0,0.66,0.8611,-0.20109999999999995,代理商,华东,,,,,,,,
212,2021,微型项目,3.9,0.97,0.7949,0.17509999999999992,直签,华北,,,,,,,,
213,2021,小型项目,24.0,0.97,0.925,0.04499999999999993,直签,华东,,,,,,,,
214,2021,小型项目,20.0,0.88,0.865,0.015000000000000013,直签,华东,,,,,,,,
215,2021,小型项目,11.98,0.94,0.4758,0.46419999999999995,直签,华东,,,,,,,,
216,2021,中型项目,36.61,0.87,1.0,-0.13,直签,华南,,,,,,,,
217,2021,小型项目,24.84,0.97,0.9336,0.03639999999999999,代理商,华南,,,,,,,,
218,2021,小型项目,24.0,0.54,0.7417,-0.2017,代理商,华南,,,,,,,,
219,2021,小型项目,17.84,0.9,0.9478,-0.047799999999999954,代理商,华北,,,,,,,,
220,2021,中型项目,100.0,0.94,0.9385,0.0014999999999999458,代理商,华南,,,,,,,,
221,2021,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
222,2021,中型项目,65.0,0.59,0.7727,-0.18270000000000008,直签,华东,,,,,,,,
223,2021,小型项目,21.8,0.77,0.7661,0.0039000000000000146,直签,华东,,,,,,,,
224,2021,小型项目,19.5,0.71,0.8182,-0.10820000000000007,直签,华北,,,,,,,,
225,2021,大型项目,246.0,0.4,0.7123,-0.3123,直签,华北,,,,,,,,
226,2021,微型项目,5.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,
227,2021,小型项目,25.0,0.93,0.904,0.026000000000000023,代理商,华北,,,,,,,,
